SIDO_NM,CCG_NM,STRD_YYMM,TP_BUZ_NO,TP_BUZ_NM_CLEAN,amt,cnt,supply_count,external_source,source_scope,amt_per_supply_proxy,cnt_per_supply_proxy
강원특별자치도,영월군,202601,4010,편의점,151400000,14346,42.0,국세청,가동사업자,3604761.904761905,341.57142857142856
강원특별자치도,영월군,202601,4020,슈퍼마켓,62860000,3040,24.0,국세청,가동사업자,2619166.6666666665,126.66666666666667
강원특별자치도,영월군,202601,8005,중국음식,30110000,1090,30.0,LOCALDATA,식품인허가 영업점,1003666.6666666666,36.333333333333336
강원특별자치도,영월군,202601,8301,제과점,18580000,1124,9.0,LOCALDATA,식품인허가 영업점,2064444.4444444445,124.88888888888889
강원특별자치도,영월군,202602,4010,편의점,158580000,15103,42.0,국세청,가동사업자,3775714.285714286,359.5952380952381
강원특별자치도,영월군,202602,4020,슈퍼마켓,75810000,3456,24.0,국세청,가동사업자,3158750.0,144.0
강원특별자치도,영월군,202602,8005,중국음식,32730000,1125,30.0,LOCALDATA,식품인허가 영업점,1091000.0,37.5
강원특별자치도,영월군,202602,8301,제과점,26010000,1381,9.0,LOCALDATA,식품인허가 영업점,2890000.0,153.44444444444446
강원특별자치도,영월군,202603,4010,편의점,187090000,18922,41.0,국세청,가동사업자,4563170.731707317,461.5121951219512
강원특별자치도,영월군,202603,4020,슈퍼마켓,66060000,3582,24.0,국세청,가동사업자,2752500.0,149.25
강원특별자치도,영월군,202603,8005,중국음식,38580000,1446,30.0,LOCALDATA,식품인허가 영업점,1286000.0,48.2
강원특별자치도,영월군,202603,8301,제과점,25090000,1558,8.0,LOCALDATA,식품인허가 영업점,3136250.0,194.75
강원특별자치도,영월군,202604,4010,편의점,209690000,21666,41.0,국세청,가동사업자,5114390.243902439,528.439024390244
강원특별자치도,영월군,202604,4020,슈퍼마켓,76160000,4163,24.0,국세청,가동사업자,3173333.3333333335,173.45833333333334
