SIDO_NM,CCG_NM,STRD_YYMM,amt,cnt,population_total,amt_per_registered_resident,cnt_per_registered_resident
경기도,남양주시,202606,25743710000,1365988,727440.0,35389.46167381502,1.877801605630705
경기도,동두천시,202601,3510190000,183416,86331.0,40659.67033858058,2.1245670732413617
경기도,동두천시,202602,3318520000,173161,86299.0,38453.74801562011,2.006523829940092
경기도,동두천시,202603,3546410000,199283,86326.0,41081.5976646665,2.30849338553854
경기도,동두천시,202604,3522100000,204299,86293.0,40815.593385326734,2.3675037372672176
경기도,동두천시,202605,3897770000,213585,86243.0,45195.204248460745,2.4765488213536173
경기도,동두천시,202606,3489600000,202504,86265.0,40452.095287776036,2.347464209123051
경기도,부천시 소사구,202601,10004830000,541645,225290.0,44408.673265568825,2.404212348528563
경기도,부천시 소사구,202602,9584300000,503182,225010.0,42594.99577796542,2.2362650548864496
경기도,부천시 소사구,202603,9753100000,573153,224842.0,43377.57180597931,2.549136727123936
경기도,부천시 소사구,202604,9362680000,565765,224628.0,41680.82340580872,2.5186753209751234
경기도,부천시 소사구,202605,10170200000,582890,224399.0,45321.94885003944,2.597560595189818
경기도,부천시 소사구,202606,9168070000,562948,224202.0,40892.00809983854,2.5108964237607156
경기도,부천시 오정구,202601,6526120000,400546,148911.0,43825.6408190127,2.6898348678069453
경기도,부천시 오정구,202602,6107630000,372415,148890.0,41021.08939485526,2.501276109879777
경기도,부천시 오정구,202603,6580960000,426451,148695.0,44258.11224318235,2.867957900400148
경기도,부천시 오정구,202604,6526760000,433325,148825.0,43855.26625230976,2.911641189316311
경기도,부천시 오정구,202605,7113630000,445551,148946.0,47759.792139433084,2.9913592845729324
경기도,부천시 오정구,202606,6528990000,437463,148912.0,43844.61964113033,2.9377283227678093
경기도,부천시 원미구,202601,20525600000,1139413,384011.0,53450.552197723504,2.967136358073076
경기도,부천시 원미구,202602,19136160000,1047403,383544.0,49892.99793504787,2.7308548693239887
경기도,부천시 원미구,202603,20748790000,1220105,383164.0,54151.198964412106,3.184289233852867
경기도,부천시 원미구,202604,20594650000,1240225,382903.0,53785.55404371342,3.239005701182806
경기도,부천시 원미구,202605,22307680000,1276968,382692.0,58291.471993143314,3.336803486877175
경기도,부천시 원미구,202606,20303370000,1234730,382339.0,53103.0577576444,3.2294115954689424
