SIDO_NM,CCG_NM,TP_BUZ_NO,TP_BUZ_NM,mapping_confidence,nominal_amt_growth_pct_m,real_amt_growth_pct_m,nominal_real_type
경기도,가평군,8004,일식회집,MEDIUM,-0.24148429967556986,-0.5033486524101602,명목-/실질-
경기도,가평군,8005,중국음식,MEDIUM,5.287256310949948,5.01087911115403,명목+/실질+
경기도,가평군,8006,서양음식,MEDIUM,7.731763569202606,7.44896958076009,명목+/실질+
경기도,가평군,8021,스넥,MEDIUM,4.94995674279365,4.674464948443802,명목+/실질+
경기도,가평군,8301,제과점,HIGH,3.7159385758081998,3.815975994285873,명목+/실질+
경기도,고양시 덕양구,4004,대형할인점,MEDIUM,-3.3233986647843037,-2.98904125430861,명목-/실질-
경기도,고양시 덕양구,4010,편의점,MEDIUM,2.4003794749865515,2.754532654143459,명목+/실질+
경기도,고양시 덕양구,4020,슈퍼마켓,MEDIUM,-1.2366060060487183,-0.8950313932727179,명목-/실질-
경기도,고양시 덕양구,8001,일반한식,MEDIUM,2.1993272121359637,1.9310557720245127,명목+/실질+
경기도,고양시 덕양구,8004,일식회집,MEDIUM,0.45838439069611986,0.1946828949335203,명목+/실질+
경기도,고양시 덕양구,8005,중국음식,MEDIUM,-0.4720905157116503,-0.7333495311768339,명목-/실질-
경기도,고양시 덕양구,8006,서양음식,MEDIUM,1.3035630381352532,1.0376429632578,명목+/실질+
경기도,고양시 덕양구,8021,스넥,MEDIUM,2.7205222415299755,2.450882673614275,명목+/실질+
경기도,고양시 덕양구,8301,제과점,HIGH,-1.996186691960708,-1.9016588053220238,명목-/실질-
경기도,고양시 일산동구,4004,대형할인점,MEDIUM,-2.3588574129862807,-2.021164122775626,명목-/실질-
경기도,고양시 일산동구,4010,편의점,MEDIUM,2.063414676052012,2.4164024576254004,명목+/실질+
경기도,고양시 일산동구,4020,슈퍼마켓,MEDIUM,-0.5108559758432143,-0.16677134619229503,명목-/실질-
경기도,고양시 일산동구,8001,일반한식,MEDIUM,0.7729565083932683,0.5084292663430419,명목+/실질+
경기도,고양시 일산동구,8004,일식회집,MEDIUM,1.829028060054317,1.5617286487172815,명목+/실질+
경기도,고양시 일산동구,8005,중국음식,MEDIUM,-1.8975561566196029,-2.1550733497972816,명목-/실질-
경기도,고양시 일산동구,8006,서양음식,MEDIUM,2.1170302497450044,1.8489748377151924,명목+/실질+
경기도,고양시 일산동구,8021,스넥,MEDIUM,5.060985006744374,4.785201765150191,명목+/실질+
경기도,고양시 일산동구,8301,제과점,HIGH,-0.6396474271457796,-0.5438111139721369,명목-/실질-
경기도,고양시 일산서구,4004,대형할인점,MEDIUM,-5.380654189437087,-5.053411826660775,명목-/실질-
경기도,고양시 일산서구,4010,편의점,MEDIUM,3.4440470098534197,3.801809728128895,명목+/실질+
경기도,고양시 일산서구,4020,슈퍼마켓,MEDIUM,-2.2390783056315895,-1.900970757662526,명목-/실질-
경기도,고양시 일산서구,8001,일반한식,MEDIUM,1.1734231406242273,0.9078446806935987,명목+/실질+
경기도,고양시 일산서구,8004,일식회집,MEDIUM,-0.4644641114276864,-0.7257431460702077,명목-/실질-
경기도,고양시 일산서구,8005,중국음식,MEDIUM,-0.5431694848744476,-0.8042419192931691,명목-/실질-
경기도,고양시 일산서구,8006,서양음식,MEDIUM,2.205122628715362,1.9368359757369655,명목+/실질+
경기도,고양시 일산서구,8021,스넥,MEDIUM,3.773218492080717,3.5008156149846745,명목+/실질+
경기도,고양시 일산서구,8301,제과점,HIGH,-1.4971826690769856,-1.402173476720636,명목-/실질-
경기도,과천시,4004,대형할인점,MEDIUM,-1.8153232312699497,-1.4757501203063637,명목-/실질-
경기도,과천시,4010,편의점,MEDIUM,6.144739512131973,6.511842614110237,명목+/실질+
경기도,과천시,4020,슈퍼마켓,MEDIUM,0.116135920512779,0.46238901061798265,명목+/실질+
경기도,과천시,8001,일반한식,MEDIUM,7.148643271680069,6.867379963783418,명목+/실질+
경기도,과천시,8004,일식회집,MEDIUM,10.48835073550408,10.198320754134121,명목+/실질+
경기도,과천시,8005,중국음식,MEDIUM,0.7460452516421591,0.48158865116850513,명목+/실질+
경기도,과천시,8006,서양음식,MEDIUM,6.185601545309964,5.906866205041713,명목+/실질+
경기도,과천시,8021,스넥,MEDIUM,10.653905946369926,10.363441385477296,명목+/실질+
경기도,과천시,8301,제과점,HIGH,1.6773066259453129,1.7753777171614713,명목+/실질+
경기도,광명시,4004,대형할인점,MEDIUM,-1.8127327762476817,-1.4731507061583908,명목-/실질-
경기도,광명시,4010,편의점,MEDIUM,1.6609353527993749,2.0125311538684847,명목+/실질+
경기도,광명시,4020,슈퍼마켓,MEDIUM,-0.9507290931332223,-0.6081657709590677,명목-/실질-
경기도,광명시,8001,일반한식,MEDIUM,1.1822294960255617,0.9166279195665754,명목+/실질+
경기도,광명시,8002,갈비전문점,MEDIUM,-9.126486973678736,-9.365028350345392,명목-/실질-
경기도,광명시,8004,일식회집,MEDIUM,0.7525747901033842,0.48810104970597334,명목+/실질+
경기도,광명시,8005,중국음식,MEDIUM,-0.32924865918963875,-0.590882632020579,명목-/실질-
경기도,광명시,8006,서양음식,MEDIUM,0.985283866845147,0.7201992692057908,명목+/실질+
