TPBUZ_NO,TPBUZ_NM,source,mapping_confidence,SIDO_NM,CCG_NM,exposure_active_start,mean_active,openings_6m,closures_6m,active_start_jan,active_end_jun,closure_rate_exposure_pct,opening_rate_exposure_pct,churn_rate_exposure_pct,net_change_6m,net_change_pct_initial,TP_BUZ_NO,TP_BUZ_NM,total_amt_6m,total_cnt_6m,avg_ticket_6m,amt_growth_pct_m,amt_r2,cnt_growth_pct_m,cnt_r2,ticket_growth_pct_m,ticket_r2,peak_month,amt_growth_without_peak_pct_m,peak_dependency,churn_q75,high_churn,churn_type
4004,대형할인점,LOCALDATA 대규모·준대규모점포,HIGH,경기도,이천시,12,2.0,0,0,2,2,0.0,0.0,0.0,0,0.0,4004,대형할인점,5012580000.0,123504.0,40586.37776914108,-2.9094335616291023,0.5165948568206846,-0.24161893443847476,0.011995592674081424,-2.6742761848123178,0.568147682801693,202601.0,-2.880141823128315,False,0.0,False,저회전·정체
4004,대형할인점,LOCALDATA 대규모·준대규모점포,HIGH,경기도,파주시,30,5.0,0,0,5,5,0.0,0.0,0.0,0,0.0,4004,대형할인점,17150170000.0,324378.0,52870.9406926487,-2.622237243047026,0.16588201827794766,-0.2635367739490301,0.003241361282748344,-2.3649329370664183,0.5534923231382523,202605.0,-4.8896744416972355,False,0.0,False,저회전·정체
4004,대형할인점,LOCALDATA 대규모·준대규모점포,HIGH,경기도,평택시,30,5.0,0,0,5,5,0.0,0.0,0.0,0,0.0,4004,대형할인점,10178430000.0,310429.0,32788.27042576564,-3.9073724531472562,0.7804268393192345,-1.3657715459884885,0.20543196327592986,-2.576794026775174,0.6198524846299993,202601.0,-3.8053385599415313,False,0.0,False,저회전·정체
4004,대형할인점,LOCALDATA 대규모·준대규모점포,HIGH,경기도,포천시,6,1.0,0,0,1,1,0.0,0.0,0.0,0,0.0,4004,대형할인점,2866350000.0,76568.0,37435.3515829067,-7.262495997182274,0.9090030381910651,-5.24832116824663,0.7969982880165188,-2.125740518552828,0.4522389447498013,202601.0,-7.345076187202983,False,0.0,False,저회전·정체
4004,대형할인점,LOCALDATA 대규모·준대규모점포,HIGH,경기도,하남시,54,9.0,0,0,9,9,0.0,0.0,0.0,0,0.0,4004,대형할인점,35959490000.0,722681.0,49758.45497529339,-3.2470113373059335,0.596756349088656,-2.7576662726806913,0.519178599195202,-0.5032222550287946,0.2763395579721178,202601.0,-2.714576984382216,False,0.0,False,저회전·정체
4004,대형할인점,LOCALDATA 대규모·준대규모점포,HIGH,경기도,화성시 동탄구,18,3.0,0,0,3,3,0.0,0.0,0.0,0,0.0,4004,대형할인점,8419750000.0,343289.0,24526.710730608906,-5.309390315415383,0.7827709103303677,-2.4813117790356385,0.3134733469971631,-2.9000375086789996,0.6247514498864687,202601.0,-4.820065913283274,False,0.0,False,저회전·정체
4004,대형할인점,LOCALDATA 대규모·준대규모점포,HIGH,경기도,화성시 만세구,6,1.0,0,0,1,1,0.0,0.0,0.0,0,0.0,4004,대형할인점,2050230000.0,66135.0,31000.680426400544,-16.734731716517274,0.9681090550553564,-7.548184633648121,0.9016299270382565,-9.936578364055206,0.9274346102081111,202601.0,-18.11001801785935,False,0.0,False,저회전·정체
4004,대형할인점,LOCALDATA 대규모·준대규모점포,HIGH,경기도,화성시 병점구,12,2.0,0,0,2,2,0.0,0.0,0.0,0,0.0,4004,대형할인점,1867220000.0,86742.0,21526.134974983284,-9.276657987741132,0.9368927447937909,-4.462474395303688,0.7517000431395695,-5.0390499041779275,0.936988114682151,202601.0,-9.61081472573541,False,0.0,False,저회전·정체
4004,대형할인점,LOCALDATA 대규모·준대규모점포,HIGH,경기도,화성시 효행구,18,3.0,0,0,3,3,0.0,0.0,0.0,0,0.0,4004,대형할인점,3045380000.0,101410.0,30030.37175820925,-2.4888677804088046,0.48868900706834945,-0.11681003842205877,0.003882318757615004,-2.3748317839060205,0.5223993976210866,202601.0,-1.449787057246875,False,0.0,False,저회전·정체
4004,대형할인점,LOCALDATA 대규모·준대규모점포,HIGH,경상남도,거제시,12,2.0,0,0,2,2,0.0,0.0,0.0,0,0.0,4004,대형할인점,6353370000.0,198759.0,31965.194028949634,-5.606242976513271,0.9166175010988581,-2.950611556664293,0.7485030937601727,-2.736371101812195,0.708914509970034,202601.0,-5.395172192822584,False,0.0,False,저회전·정체
