SIDO_NM,CCG_NM,STRD_YYMM,registered_foreigners
전북특별자치도,남원시,202606,1652
전북특별자치도,무주군,202606,1027
전북특별자치도,부안군,202606,1749
전북특별자치도,순창군,202606,673
전북특별자치도,완주군,202606,5191
전북특별자치도,익산시,202606,8295
전북특별자치도,임실군,202606,691
전북특별자치도,장수군,202606,754
전북특별자치도,전주시 덕진구,202606,6959
전북특별자치도,전주시 완산구,202606,5350
전북특별자치도,정읍시,202606,4264
전북특별자치도,진안군,202606,1128
제주특별자치도,서귀포시,202606,9838
제주특별자치도,제주시,202606,18638
충청남도,계룡시,202606,280
충청남도,공주시,202606,3729
충청남도,금산군,202606,4123
충청남도,논산시,202606,8101
충청남도,당진시,202606,9625
충청남도,보령시,202606,5107
충청남도,부여군,202606,2483
충청남도,서산시,202606,6645
충청남도,서천군,202606,2417
충청남도,아산시,202606,25268
충청남도,예산군,202606,4968
충청남도,천안시 동남구,202606,12386
충청남도,천안시 서북구,202606,18783
충청남도,청양군,202606,1558
충청남도,태안군,202606,2606
충청남도,홍성군,202606,4508
충청북도,괴산군,202606,2084
충청북도,단양군,202606,638
충청북도,보은군,202606,1273
충청북도,영동군,202606,1617
충청북도,옥천군,202606,1867
충청북도,음성군,202606,16236
충청북도,제천시,202606,3949
충청북도,증평군,202606,1511
충청북도,진천군,202606,9648
충청북도,청주시 상당구,202606,1703
충청북도,청주시 서원구,202606,4511
충청북도,청주시 청원구,202606,7704
충청북도,청주시 흥덕구,202606,7913
충청북도,충주시,202606,7144
