TP_BUZ_NO,TP_BUZ_NM,SIDO_NM,CCG_NM,all_amt_6m,all_cnt_6m,corp_amt_6m,corp_cnt_6m,corp_amt_share_pct,corp_cnt_share_pct,all_amt_growth_pct_m,noncorp_amt_growth_pct_m,corp_amt_growth_pct_m,corporate_growth_contribution_gap_pp_m
4004,대형할인점,경상북도,상주시,1214610000,22903,12340000.0,235.0,1.0159639719745432,1.026066454176309,-2.6056829847885608,-2.5640470842444745,-7.147851346109707,-0.04163590054408628
4004,대형할인점,경상북도,성주군,597590000,22859,7250000.0,422.0,1.2132063789554712,1.8461000043746445,0.6671025826994407,0.5798239153023912,7.912100774632057,0.08727866739704948
4004,대형할인점,경상북도,안동시,3959940000,92539,46480000.0,2031.0,1.173755157906433,2.194750321486076,-5.185139288887179,-5.217564926641621,-2.439163031053595,0.03242563775444207
4004,대형할인점,경상북도,영주시,812600000,23398,22330000.0,873.0,2.747969480679301,3.731088127190358,-17.074295031296366,-17.016207288989037,-19.248005316114604,-0.05808774230732894
4004,대형할인점,경상북도,영천시,2810200000,66710,35570000.0,1105.0,1.265746210234147,1.6564233248388547,-1.6852692352668965,-1.6579913896967835,-3.6361205207933254,-0.027277845570113035
4004,대형할인점,경상북도,예천군,200470000,13490,13430000.0,1108.0,6.699256746645384,8.21349147516679,-2.734404482747157,-3.3741277651260693,7.620128156685893,0.6397232823789123
4004,대형할인점,경상북도,청도군,1404770000,40835,35080000.0,1306.0,2.4972059483047047,3.198236806660953,-1.2114947481037326,-1.0257257639653503,-7.89262802400474,-0.18576898413838228
4004,대형할인점,경상북도,칠곡군,141110000,9173,5930000.0,492.0,4.202395294451137,5.3635669900795815,1.747542462735521,1.460111006271745,8.244992177032444,0.2874314564637759
4004,대형할인점,경상북도,포항시 남구,7832060000,208774,194750000.0,6924.0,2.486574413372727,3.316504928774656,-4.128494873220979,-4.189321003206409,-1.6568779261249518,0.06082612998543002
4004,대형할인점,경상북도,포항시 북구,11530860000,356951,255810000.0,13345.0,2.218481535635677,3.738608380421963,-2.687554272187536,-2.7808974513375366,1.7783049281574708,0.09334317915000057
4004,대형할인점,광주광역시,광산구,9879790000,227747,337480000.0,10859.0,3.4158620780401203,4.768010116488911,-3.405430397371165,-3.5158088704132293,-0.6608506645432238,0.1103784730420645
4004,대형할인점,광주광역시,남구,2903430000,54907,31630000.0,742.0,1.0894011565630994,1.3513759629919682,-4.091154740404845,-4.159037929500242,3.1121038779169004,0.06788318909539637
4004,대형할인점,광주광역시,동구,3273210000,60854,58150000.0,1200.0,1.7765435153870361,1.9719328228218358,2.105955586545737,2.119727361884856,1.3598170080618475,-0.013771775339118886
4004,대형할인점,광주광역시,북구,4051590000,150858,66300000.0,3804.0,1.636394600638268,2.521576581951239,-9.429617405590418,-9.524922349783493,-3.449633901734142,0.09530494419307445
4004,대형할인점,광주광역시,서구,11178010000,279485,281190000.0,9114.0,2.515564040468742,3.2609979068644117,-2.3597134623673086,-2.3770507922693525,-1.7180814897391952,0.01733732990204384
4004,대형할인점,대구광역시,남구,1140420000,41817,11360000.0,516.0,0.9961242349309902,1.233947915919363,-24.8019619425155,-24.718110882249995,-34.313183681279966,-0.0838510602655056
4004,대형할인점,대구광역시,달서구,19109120000,570616,245110000.0,11393.0,1.2826859635608547,1.9966141853715984,-6.734791905270461,-6.755379015150269,-5.227455351184481,0.020587109879808274
4004,대형할인점,대구광역시,달성군,2843680000,123255,58270000.0,4033.0,2.049105384572104,3.2720782118372482,-1.8485033372808946,-1.9427546468646333,2.8991489370284813,0.09425130958373873
4004,대형할인점,대구광역시,동구,6483950000,208675,162230000.0,6640.0,2.5020242290579047,3.1819815502575772,-3.039695270417728,-3.1360359528625725,0.6622590349367758,0.09634068244484473
4004,대형할인점,대구광역시,북구,17712410000,418482,207690000.0,7982.0,1.1725677081774868,1.9073699705124711,-3.106642552773524,-3.091900991253835,-4.802474272263858,-0.014741561519689306
4004,대형할인점,대구광역시,서구,7036060000,100780,94090000.0,1478.0,1.3372540882255126,1.466560825560627,-3.191932132256494,-3.255994934773126,2.266318393182428,0.06406280251663166
4004,대형할인점,대구광역시,수성구,14626940000,443555,237690000.0,11664.0,1.625015211657394,2.6296626123028712,-3.0847349533729402,-3.1302938573380317,-0.2096060718263245,0.045558903965091435
4004,대형할인점,대구광역시,중구,10965370000,423761,184060000.0,8790.0,1.6785571303111524,2.0742824375060467,-3.0156132791735755,-3.0131693160790887,-3.072676188372758,-0.0024439630944868007
4004,대형할인점,대전광역시,대덕구,491540000,29154,6520000.0,511.0,1.3264434227122919,1.7527611991493448,-4.184801110724739,-4.19100507765669,-3.8432939849837617,0.0062039669319506885
4004,대형할인점,대전광역시,동구,4822470000,122830,84590000.0,2847.0,1.7540803778976333,2.317837661809004,-5.328844113326364,-5.346585753054601,-4.176019585390173,0.017741639728236613
4004,대형할인점,대전광역시,서구,10611870000,281486,298510000.0,12109.0,2.8129820663087655,4.301812523535807,-2.056769857851716,-2.2470990252256398,4.779506215837815,0.1903291673739238
4004,대형할인점,대전광역시,유성구,10746190000,301281,548440000.0,18991.0,5.103576244231676,6.303417739585305,-3.8135824734473007,-3.9768068187744277,-0.7529513348789252,0.16322434532712693
4004,대형할인점,대전광역시,중구,2226130000,70083,69280000.0,3287.0,3.112127324100569,4.690153104176476,-6.92613435974078,-7.118004273505593,-1.1489411179628772,0.19186991376481366
4004,대형할인점,부산광역시,강서구,9950450000,321081,251410000.0,13970.0,2.526619399122653,4.3509270246448715,-1.378574398814107,-1.458717118179123,1.9151837369463798,0.08014271936501594
4004,대형할인점,부산광역시,금정구,10618690000,295785,198450000.0,8477.0,1.8688745975256833,2.8659330256774345,-0.0922859422120508,-0.08914604998295224,-0.27814371934959714,-0.003139892229098565
4004,대형할인점,부산광역시,기장군,21454030000,319138,580850000.0,9575.0,2.707416741749685,3.0002694759007076,-2.665515628964301,-2.7407612088133804,0.18972275535688693,0.0752455798490792
4004,대형할인점,부산광역시,남구,8984230000,337031,180120000.0,11742.0,2.0048462695189238,3.483952514753836,-5.286956227137547,-5.378595294059314,-0.4552530652423411,0.0916390669217666
4004,대형할인점,부산광역시,동구,660150000,45824,12180000.0,1150.0,1.845035219268348,2.5096019553072626,-13.204684390420967,-13.279543474389838,-9.203202718572497,0.07485908396887098
4004,대형할인점,부산광역시,동래구,17294470000,616250,290020000.0,16511.0,1.6769522280821558,2.6792697768762674,-1.8084626102568762,-1.8619004104809662,1.278902176385565,0.05343780022409006
4004,대형할인점,부산광역시,부산진구,12041090000,361196,207160000.0,10619.0,1.7204422523210108,2.9399550382617745,-0.8448598760130608,-0.8837055033974164,1.3742203799871704,0.0388456273843556
4004,대형할인점,부산광역시,북구,81315510000,2420890,1090080000.0,42572.0,1.3405560636587042,1.758526822780052,-0.25004299762177307,-0.26206116835384696,0.6342409959706823,0.012018170732073896
4004,대형할인점,부산광역시,사상구,16864900000,432859,219170000.0,8995.0,1.2995629977052934,2.078043889580672,-1.7759286593402768,-1.8289002957371119,2.3050964311015396,0.05297163639683511
4004,대형할인점,부산광역시,사하구,8880930000,262654,140720000.0,6654.0,1.5845187384654533,2.533370898596633,1.1413392887900715,1.1156568706931291,2.7087317019170265,0.025682418096942383
4004,대형할인점,부산광역시,서구,389480000,31785,8440000.0,772.0,2.166991886618055,2.4288186251376436,-12.59819334300568,-12.843414427304209,-1.2253171686238296,0.24522108429852985
4004,대형할인점,부산광역시,수영구,699920000,52543,18610000.0,2048.0,2.6588753000342895,3.897759929962126,-9.099545883199392,-9.211124509057006,-5.902067732909078,0.11157862585761436
4004,대형할인점,부산광역시,연제구,16188620000,432679,238180000.0,10192.0,1.4712804426813404,2.355556890905267,-5.591441328971661,-5.567355199375226,-7.21696285104038,-0.024086129596435413
4004,대형할인점,부산광역시,영도구,762320000,28903,15080000.0,1059.0,1.9781718963165076,3.6639795176971246,-33.4444640246743,-33.883196151851564,-14.084134347959868,0.4387321271772606
4004,대형할인점,부산광역시,중구,2607730000,78744,118820000.0,4616.0,4.556453313801659,5.862033932744081,-1.7449350176408098,-1.9400175918092182,2.479867531805739,0.19508257416840835
4004,대형할인점,부산광역시,해운대구,14783170000,491681,345170000.0,16079.0,2.334884872459696,3.270209749817463,-6.259522494332925,-6.2860011022582745,-5.2650923955793845,0.026478607925349174
4004,대형할인점,서울특별시,강남구,21336780000,743812,1471660000.0,49210.0,6.897291906276393,6.6159190763257385,-3.055207708134521,-3.302528619941162,0.29759685578218187,0.24732091180664106
4004,대형할인점,서울특별시,강동구,14426870000,570740,489800000.0,30377.0,3.3950538127812893,5.32238847811613,-3.4641092761105647,-3.5788013632994753,-0.03853563922746772,0.11469208718891055
4004,대형할인점,서울특별시,강북구,2624890000,131062,77860000.0,5146.0,2.9662195368186857,3.9263859852588854,-0.5797605643399408,-0.6279106272852943,1.083902123517503,0.04815006294535351
4004,대형할인점,서울특별시,강서구,23042700000,677455,889480000.0,35673.0,3.8601379178655275,5.265737207637407,-2.8972751814959583,-2.9577476615629603,-1.391778856527915,0.06047248006700201
4004,대형할인점,서울특별시,관악구,3666760000,227598,251610000.0,21009.0,6.861916242132018,9.230748952099754,-4.612715110959532,-5.05705125008927,1.8091003538511092,0.4443361391297378
4004,대형할인점,서울특별시,광진구,10249800000,409443,360090000.0,21088.0,3.5131417198384356,5.150411656811816,-4.340930639746349,-4.426241909816944,-1.9001349366240956,0.08531127007059425
4004,대형할인점,서울특별시,구로구,14955700000,464433,393300000.0,14345.0,2.6297665772916012,3.0887124730585467,-3.943177056499677,-3.905302730714216,-5.401764290539148,-0.037874325785460794
