SIDO_NM,CCG_NM,TP_BUZ_NO,TP_BUZ_NM,amt_share_pct_202601,amt_share_pct_202606,cnt_share_pct_202601,cnt_share_pct_202606,amt_share_change_pp,cnt_share_change_pp
부산광역시,연제구,4004,대형할인점,18.90799871276862,13.478512340176946,8.737204305707378,5.89782974699601,-5.429486372591674,-2.839374558711368
부산광역시,연제구,4010,편의점,10.038616941395215,11.532817695951671,25.22705121508613,25.910007149611385,1.4942007545564557,0.6829559345252534
부산광역시,연제구,4020,슈퍼마켓,10.842719395478003,12.71751640971729,16.24031404308938,17.334348116884616,1.8747970142392862,1.0940340737952354
부산광역시,연제구,8001,일반한식,39.47181797594784,39.65286623834687,18.252300667180023,17.461657326045344,0.18104826239902394,-0.7906433411346789
부산광역시,연제구,8002,갈비전문점,0.05822338231963862,0.06508250932192487,0.013677459654186434,0.011347125164325745,0.006859127002286254,-0.0023303344898606883
부산광역시,연제구,8004,일식회집,2.7066423522961585,2.5380440011080836,0.8702956808305558,0.8061994049678268,-0.16859835118807487,-0.06409627586272892
부산광역시,연제구,8005,중국음식,2.7170117161893184,2.6891304675393015,1.6709117049976578,1.5724532392352224,-0.027881248650016843,-0.09845846576243544
부산광역시,연제구,8006,서양음식,8.58863422366837,9.948003537521256,19.586337617860394,21.351230425055927,1.359369313852886,1.7648928071955332
부산광역시,연제구,8021,스넥,3.5660480804757992,4.293880853224163,4.575917978320688,4.921976982863995,0.7278327727483638,0.3460590045433074
부산광역시,연제구,8301,제과점,3.1022872194610316,3.0841459470924986,4.825989327273608,4.73295048317535,-0.018141272368533023,-0.09303884409825791
부산광역시,영도구,4004,대형할인점,3.3010507659197366,0.3278599158155418,1.8935595834940224,0.36821021606924176,-2.973190850104195,-1.5253493674247807
부산광역시,영도구,4010,편의점,13.709330294974048,14.932552491981967,30.41347584155143,31.487577575292143,1.2232221970079191,1.0741017337407115
부산광역시,영도구,4020,슈퍼마켓,15.99648689707558,18.520840390887937,19.145501625254806,20.40308018016148,2.5243534938123577,1.2575785549066758
부산광역시,영도구,8001,일반한식,42.39555639954425,41.0258407088835,18.705305492810314,18.293239793270928,-1.3697156906607475,-0.41206569953938654
부산광역시,영도구,8002,갈비전문점,1.4679073300417775,1.2222711113360876,0.3895102198225993,0.3103011685589157,-0.24563621870568997,-0.0792090512636836
부산광역시,영도구,8004,일식회집,2.4039435371566023,2.7818771083430356,0.9211613685196409,1.0984038689055398,0.37793357118643334,0.17724250038589884
부산광역시,영도구,8005,중국음식,2.798297252816812,2.7590333454041853,1.929921216461903,1.8520517237800702,-0.039263907412626864,-0.07786949268183285
부산광역시,영도구,8006,서양음식,10.959615141157109,10.9385282126962,18.38962040658917,18.135909836235705,-0.02108692846090854,-0.25371057035346567
부산광역시,영도구,8021,스넥,4.129161919230282,4.262438493817258,4.253484656492755,3.680026567591689,0.13327657458697573,-0.5734580889010656
부산광역시,영도구,8301,제과점,2.838650462083808,3.228758220834291,3.958459589003361,4.37119907013429,0.39010775875048287,0.41273948113092906
부산광역시,중구,4004,대형할인점,4.553545994732607,3.7794543035887243,2.7098308624952065,2.272893193487942,-0.7740916911438829,-0.4369376690072646
부산광역시,중구,4010,편의점,10.047426523870683,11.31487124797594,26.61733149482307,26.940632919753448,1.2674447241052569,0.32330142493037783
부산광역시,중구,4020,슈퍼마켓,5.010619743227102,5.553354506903473,8.37630443119049,8.65162992654293,0.5427347636763704,0.27532549535243867
부산광역시,중구,8001,일반한식,49.33288022428898,48.53675839290925,26.03885348759414,25.3955313904697,-0.7961218313797289,-0.6433220971244396
부산광역시,중구,8002,갈비전문점,0.09555270141280067,0.11867018544430472,0.024885161100821614,0.026420905889428508,0.023117484031504043,0.0015357447886068937
부산광역시,중구,8003,한정식,0.013293419757220176,,0.003467604415688258,,,
부산광역시,중구,8004,일식회집,6.3599518238471955,5.6130158727199335,2.234361104085246,1.9909543161678562,-0.746935951127262,-0.2434067879173898
부산광역시,중구,8005,중국음식,3.1639338527428924,2.988568322984262,2.15521813271542,2.080646338792495,-0.1753655297586305,-0.0745717939229249
부산광역시,중구,8006,서양음식,15.060045277587594,15.700447739906275,22.28690550981944,23.18729988771115,0.640402462318681,0.9003943778917076
부산광역시,중구,8021,스넥,3.55813872133294,3.6692672185964477,4.855666065615235,4.653208228026324,0.1111284972635076,-0.202457837588911
부산광역시,중구,8301,제과점,2.804611717199986,2.7255922089713915,4.697176146145248,4.800782893158724,-0.07901950822859449,0.10360674701347605
부산광역시,해운대구,4004,대형할인점,10.473026748587175,6.8710212230000085,6.176816248158509,3.734628596604351,-3.602005525587167,-2.4421876515541583
부산광역시,해운대구,4010,편의점,12.01194894648984,13.885485478624204,28.731034711072116,30.220827319392463,1.8735365321343647,1.4897926083203465
부산광역시,해운대구,4020,슈퍼마켓,9.561346323168467,11.379587820836868,12.441428169433731,13.758137464346603,1.8182414976684012,1.3167092949128723
부산광역시,해운대구,8001,일반한식,41.90464811940635,41.36403685393515,18.95505934153245,17.983882256025225,-0.5406112654712061,-0.9711770855072253
