SIDO_NM,CCG_NM,TP_BUZ_NO,TP_BUZ_NM_CLEAN,external_source,source_scope,amt_growth_pct_m,cnt_growth_pct_m,supply_growth_pct_m,amt_per_supply_growth_pct_m,cnt_per_supply_growth_pct_m,amt_robust,cnt_robust,supply_robust,total_cnt_6m,mean_supply,amt_direction,cnt_direction,supply_direction,cnt_supply_type,amt_supply_type,three_method_robust,quadrant
전라남도,영광군,4010,편의점,국세청,가동사업자,6.623593299618589,6.37008031195438,-0.2167744867293825,6.855228172032018,6.601164439014595,True,True,False,138553.0,39.5,증가,증가,정체,증가 소비·정체 공급,증가 소비·정체 공급,False,증가 소비·정체 공급
전라남도,영광군,4020,슈퍼마켓,국세청,가동사업자,5.981188941396566,6.463807112907729,0.4545829406993275,5.50159668072062,5.9820308803191,True,True,False,72434.0,31.833333333333332,증가,증가,증가,증가 소비·증가 공급,증가 소비·증가 공급,False,증가 소비·증가 공급
전라남도,영광군,8005,중국음식,LOCALDATA,식품인허가 영업점,3.7744613358862353,4.827711872711568,0.0,3.77446133588624,4.827711872711568,True,True,False,12318.0,27.0,증가,증가,정체,증가 소비·정체 공급,증가 소비·정체 공급,False,증가 소비·정체 공급
전라남도,영광군,8301,제과점,LOCALDATA,식품인허가 영업점,5.685056813576712,6.368967746386269,0.0,5.685056813576755,6.36896774638626,True,True,False,18275.0,19.0,증가,증가,정체,증가 소비·정체 공급,증가 소비·정체 공급,False,증가 소비·정체 공급
전라남도,영암군,4010,편의점,국세청,가동사업자,3.3254246170813953,4.456249066197807,0.4405386746190147,2.872232646828048,3.998097227044811,True,True,True,322318.0,58.5,증가,증가,증가,증가 소비·증가 공급,증가 소비·증가 공급,True,증가 소비·증가 공급
전라남도,영암군,4020,슈퍼마켓,국세청,가동사업자,-0.1092316195836844,3.0409583874415698,1.8052245308125685,-1.8805087452234703,1.2138216504350172,False,True,True,240956.0,41.666666666666664,정체,증가,증가,증가 소비·증가 공급,정체 소비·증가 공급,True,증가 소비·증가 공급
전라남도,영암군,8005,중국음식,LOCALDATA,식품인허가 영업점,0.3798716369687325,1.595142926488869,0.1665793253899933,0.2129376015585078,1.4261878669712809,True,True,False,20654.0,51.5,증가,증가,정체,증가 소비·정체 공급,증가 소비·정체 공급,False,증가 소비·정체 공급
전라남도,영암군,8301,제과점,LOCALDATA,식품인허가 영업점,-0.5301578531257363,-0.2528115221296737,0.0,-0.5301578531257212,-0.2528115221296737,False,False,False,14813.0,17.0,감소,감소,정체,감소 소비·정체 공급,감소 소비·정체 공급,False,감소 소비·정체 공급
전라남도,완도군,4010,편의점,국세청,가동사업자,1.0323187962887632,3.1340055772491535,0.5354096300791011,0.4942628353911324,2.5847569097610483,True,True,True,233195.0,48.166666666666664,증가,증가,증가,증가 소비·증가 공급,증가 소비·증가 공급,True,증가 소비·증가 공급
전라남도,완도군,4020,슈퍼마켓,국세청,가동사업자,-0.9061362829301453,2.0723675791254115,-1.12264970426055,0.2189717065463493,3.2312933890620608,True,True,True,69391.0,43.166666666666664,감소,증가,감소,증가 소비·감소 공급,감소 소비·감소 공급,True,증가 소비·감소 공급
전라남도,완도군,8005,중국음식,LOCALDATA,식품인허가 영업점,0.5892820407042489,1.768969399847735,0.8197366916518776,-0.2285808895260727,0.9415147661999992,True,True,True,16293.0,31.5,증가,증가,증가,증가 소비·증가 공급,증가 소비·증가 공급,True,증가 소비·증가 공급
전라남도,완도군,8301,제과점,LOCALDATA,식품인허가 영업점,-0.5434737505980217,1.5491289493435634,0.0,-0.5434737505980368,1.5491289493435505,False,True,False,14885.0,20.0,감소,증가,정체,증가 소비·정체 공급,감소 소비·정체 공급,False,증가 소비·정체 공급
전라남도,장성군,4010,편의점,국세청,가동사업자,3.2827099947318508,4.238070163524768,0.5208897116237942,2.747508792482036,3.69791837553856,True,True,False,123222.0,27.833333333333332,증가,증가,증가,증가 소비·증가 공급,증가 소비·증가 공급,False,증가 소비·증가 공급
전라남도,장성군,4020,슈퍼마켓,국세청,가동사업자,2.1438145501750663,4.285419930457623,-0.63301315589499,2.7945173686575115,4.94976575476629,True,True,False,49306.0,22.833333333333332,증가,증가,감소,증가 소비·감소 공급,증가 소비·감소 공급,False,증가 소비·감소 공급
전라남도,장성군,8005,중국음식,LOCALDATA,식품인허가 영업점,2.873224443453529,3.861971764253523,-0.5067319037641101,3.3971708959729967,4.390954032982403,True,True,False,17167.0,22.666666666666668,증가,증가,감소,증가 소비·감소 공급,증가 소비·감소 공급,False,증가 소비·감소 공급
전라남도,장성군,8301,제과점,LOCALDATA,식품인허가 영업점,4.004855502326461,4.682212074814253,3.655432261531366,0.3371007511824991,0.9905701909497914,True,True,True,13078.0,15.333333333333334,증가,증가,증가,증가 소비·증가 공급,증가 소비·증가 공급,True,증가 소비·증가 공급
전라남도,장흥군,4010,편의점,국세청,가동사업자,3.00567468067003,3.5473665561830305,0.8505450069468554,2.136953918865499,2.6740773181249575,True,True,True,100979.0,27.0,증가,증가,증가,증가 소비·증가 공급,증가 소비·증가 공급,True,증가 소비·증가 공급
전라남도,장흥군,4020,슈퍼마켓,국세청,가동사업자,-1.60460612920042,1.30316893843178,0.0,-1.60460612920039,1.3031689384317773,True,True,False,78288.0,25.666666666666668,감소,증가,정체,증가 소비·정체 공급,감소 소비·정체 공급,False,증가 소비·정체 공급
전라남도,장흥군,8005,중국음식,LOCALDATA,식품인허가 영업점,1.529834712489874,1.3665122628144617,-2.510255907404209,4.144118601908275,3.97659077506299,True,False,True,7418.0,18.333333333333332,증가,증가,감소,증가 소비·감소 공급,증가 소비·감소 공급,False,증가 소비·감소 공급
전라남도,장흥군,8301,제과점,LOCALDATA,식품인허가 영업점,-2.5316377727239323,-1.814823000940825,-1.2353260923240683,-1.312525652250553,-0.5867451242318251,True,True,False,10884.0,11.833333333333334,감소,감소,감소,감소 소비·감소 공급,감소 소비·감소 공급,False,감소 소비·감소 공급
전라남도,진도군,4010,편의점,국세청,가동사업자,-0.1536408331546017,1.4380221011515122,-0.3802901661928821,0.2275145484928568,1.8252535270157264,False,True,False,105433.0,22.833333333333332,정체,증가,감소,증가 소비·감소 공급,정체 소비·감소 공급,False,증가 소비·감소 공급
전라남도,진도군,4020,슈퍼마켓,국세청,가동사업자,-5.389270913546276,-1.7046579575355294,-2.5909649820195906,-2.8727375556180936,0.9098817417916674,True,True,True,64992.0,35.5,감소,감소,감소,감소 소비·감소 공급,감소 소비·감소 공급,True,감소 소비·감소 공급
전라남도,진도군,8005,중국음식,LOCALDATA,식품인허가 영업점,1.6047918721022667,2.1705765011252134,0.0,1.6047918721022822,2.170576501125216,True,True,False,5371.0,17.0,증가,증가,정체,증가 소비·정체 공급,증가 소비·정체 공급,False,증가 소비·정체 공급
전라남도,진도군,8301,제과점,LOCALDATA,식품인허가 영업점,2.532792595146905,5.761902168620454,2.4811129746394975,0.0504284340864155,3.201359839634874,True,True,True,8254.0,10.5,증가,증가,증가,증가 소비·증가 공급,증가 소비·증가 공급,True,증가 소비·증가 공급
전라남도,함평군,4010,편의점,국세청,가동사업자,5.469323649445132,5.2145748337009525,0.0,5.469323649445142,5.21457483370096,True,True,False,52687.0,13.0,증가,증가,정체,증가 소비·정체 공급,증가 소비·정체 공급,False,증가 소비·정체 공급
전라남도,함평군,4020,슈퍼마켓,국세청,가동사업자,0.1061007010716405,2.521147990923746,0.1634431768279398,-0.0572489063250719,2.3538575944653917,True,True,False,15161.0,17.833333333333332,정체,증가,정체,증가 소비·정체 공급,정체 소비·정체 공급,False,증가 소비·정체 공급
전라남도,함평군,8005,중국음식,LOCALDATA,식품인허가 영업점,2.434756867175329,4.008161776286829,1.5711333755507744,0.8502646991555933,2.3993316996132705,True,True,True,6825.0,16.5,증가,증가,증가,증가 소비·증가 공급,증가 소비·증가 공급,True,증가 소비·증가 공급
전라남도,함평군,8301,제과점,LOCALDATA,식품인허가 영업점,0.2689564195577715,3.777165177886822,-5.627794256450205,6.248397639482951,9.965814998426938,True,True,False,5832.0,8.5,증가,증가,감소,증가 소비·감소 공급,증가 소비·감소 공급,False,증가 소비·감소 공급
전라남도,해남군,4010,편의점,국세청,가동사업자,0.9153959399278522,2.296123936035939,0.4280403741933289,0.4852783783479708,1.8601214908527188,True,True,True,221567.0,66.66666666666667,증가,증가,증가,증가 소비·증가 공급,증가 소비·증가 공급,True,증가 소비·증가 공급
전라남도,해남군,4020,슈퍼마켓,국세청,가동사업자,2.6686577956229742,2.2719891938924692,0.2577387982950142,2.4047210980674727,2.0090722369570564,False,True,False,111236.0,55.5,증가,증가,증가,증가 소비·증가 공급,증가 소비·증가 공급,False,증가 소비·증가 공급
전라남도,해남군,8005,중국음식,LOCALDATA,식품인허가 영업점,0.5481090765389324,1.0835870982215348,0.0,0.5481090765388966,1.0835870982215423,True,True,False,16096.0,35.666666666666664,증가,증가,정체,증가 소비·정체 공급,증가 소비·정체 공급,False,증가 소비·정체 공급
전라남도,해남군,8301,제과점,LOCALDATA,식품인허가 영업점,-0.2543693002597805,0.3105953563192823,0.2863619735579435,-0.5391872465772716,0.0241641857222219,False,True,False,24995.0,19.333333333333332,감소,증가,증가,증가 소비·증가 공급,감소 소비·증가 공급,False,증가 소비·증가 공급
전라남도,화순군,4010,편의점,국세청,가동사업자,1.525792046117846,2.9049468412463173,0.6459832890904011,0.8741618177650533,2.244464685358972,True,True,True,202495.0,35.666666666666664,증가,증가,증가,증가 소비·증가 공급,증가 소비·증가 공급,True,증가 소비·증가 공급
전라남도,화순군,4020,슈퍼마켓,국세청,가동사업자,0.3995828060992033,1.8000175442645403,0.0,0.3995828060992033,1.8000175442645328,True,True,False,116309.0,39.0,증가,증가,정체,증가 소비·정체 공급,증가 소비·정체 공급,False,증가 소비·정체 공급
전라남도,화순군,8005,중국음식,LOCALDATA,식품인허가 영업점,-0.7828962733071145,-0.1653224235541807,-0.8924671011990647,0.1105575173622906,0.7336926431085378,True,False,True,17396.0,25.666666666666668,감소,정체,감소,정체 소비·감소 공급,감소 소비·감소 공급,False,정체 소비·감소 공급
전라남도,화순군,8301,제과점,LOCALDATA,식품인허가 영업점,1.6217566168883115,2.548113481218355,0.5848751047341325,1.0308523136053331,1.9518226517058308,True,True,False,30705.0,24.833333333333332,증가,증가,증가,증가 소비·증가 공급,증가 소비·증가 공급,False,증가 소비·증가 공급
전북특별자치도,고창군,4010,편의점,국세청,가동사업자,8.420359175618298,10.889262383350967,0.1634036010348895,8.243485422552146,10.708360934936586,True,True,False,138743.0,52.166666666666664,증가,증가,정체,증가 소비·정체 공급,증가 소비·정체 공급,False,증가 소비·정체 공급
전북특별자치도,고창군,4020,슈퍼마켓,국세청,가동사업자,3.99709476538111,4.914044444323353,-0.7118885626118748,4.742746397147964,5.6662705388277885,True,True,True,73143.0,40.0,증가,증가,감소,증가 소비·감소 공급,증가 소비·감소 공급,True,증가 소비·감소 공급
전북특별자치도,고창군,8005,중국음식,LOCALDATA,식품인허가 영업점,9.143244061128383,9.239965037604152,0.9064316583278876,8.162821999979768,8.258674142292378,True,True,True,12818.0,28.5,증가,증가,증가,증가 소비·증가 공급,증가 소비·증가 공급,True,증가 소비·증가 공급
전북특별자치도,고창군,8301,제과점,LOCALDATA,식품인허가 영업점,2.2277844060732312,3.797246584549424,0.0,2.227784406073221,3.7972465845494026,True,True,False,16014.0,15.0,증가,증가,정체,증가 소비·정체 공급,증가 소비·정체 공급,False,증가 소비·정체 공급
전북특별자치도,군산시,4010,편의점,국세청,가동사업자,3.0469165835592573,4.464052493511836,0.3019467169156404,2.7367064713019604,4.14957626729122,True,True,True,1192449.0,265.6666666666667,증가,증가,증가,증가 소비·증가 공급,증가 소비·증가 공급,True,증가 소비·증가 공급
전북특별자치도,군산시,4020,슈퍼마켓,국세청,가동사업자,-1.2000500688773996,1.036506522096745,-3.1075523969264074e-06,-1.200046998617064,1.036509661859218,True,True,False,938904.0,209.33333333333337,감소,증가,정체,증가 소비·정체 공급,감소 소비·정체 공급,False,증가 소비·정체 공급
전북특별자치도,군산시,8005,중국음식,LOCALDATA,식품인허가 영업점,-0.2943052100178314,0.6269182658315916,-0.1642601837815731,-0.13025898989244,0.7924801790116469,True,True,True,102129.0,174.0,감소,증가,정체,증가 소비·정체 공급,감소 소비·정체 공급,True,증가 소비·정체 공급
전북특별자치도,군산시,8301,제과점,LOCALDATA,식품인허가 영업점,0.3122121463344134,1.74839602998471,-0.5634095390734891,0.8805829738822734,2.324904301668155,False,True,True,170990.0,85.83333333333333,증가,증가,감소,증가 소비·감소 공급,증가 소비·감소 공급,True,증가 소비·감소 공급
전북특별자치도,김제시,4010,편의점,국세청,가동사업자,3.970343661027156,4.756007549249975,0.0,3.9703436610271137,4.756007549249992,True,True,False,238807.0,78.66666666666667,증가,증가,정체,증가 소비·정체 공급,증가 소비·정체 공급,False,증가 소비·정체 공급
전북특별자치도,김제시,4020,슈퍼마켓,국세청,가동사업자,0.8564835206042497,2.7648793439652413,1.553266080245381,-0.6861252094940161,1.193081532958729,True,True,True,172305.0,35.5,증가,증가,증가,증가 소비·증가 공급,증가 소비·증가 공급,True,증가 소비·증가 공급
전북특별자치도,김제시,8005,중국음식,LOCALDATA,식품인허가 영업점,0.8342028281448974,2.1010617860421656,0.5862387790545275,0.246518859935736,1.505994284481667,True,True,True,22447.0,54.166666666666664,증가,증가,증가,증가 소비·증가 공급,증가 소비·증가 공급,True,증가 소비·증가 공급
전북특별자치도,김제시,8301,제과점,LOCALDATA,식품인허가 영업점,-2.344752028001828,-0.7961446408571046,-1.3032517873204943,-1.0552528422081522,0.5138032971163551,True,False,True,19673.0,19.833333333333332,감소,감소,감소,감소 소비·감소 공급,감소 소비·감소 공급,False,감소 소비·감소 공급
전북특별자치도,남원시,4010,편의점,국세청,가동사업자,4.127130767987626,4.748720252260356,1.1737535024642798,2.919114061979924,3.533492260627634,True,True,True,269841.0,56.166666666666664,증가,증가,증가,증가 소비·증가 공급,증가 소비·증가 공급,True,증가 소비·증가 공급
전북특별자치도,남원시,4020,슈퍼마켓,국세청,가동사업자,2.112253635731325,3.100566587682689,0.6531531505858429,1.4496321669750296,2.4315318104692856,True,True,True,180679.0,39.5,증가,증가,증가,증가 소비·증가 공급,증가 소비·증가 공급,True,증가 소비·증가 공급
전북특별자치도,남원시,8005,중국음식,LOCALDATA,식품인허가 영업점,0.4259292732638037,0.9981853422888352,0.0,0.425929273263763,0.9981853422888608,False,False,False,28401.0,61.0,증가,증가,정체,증가 소비·정체 공급,증가 소비·정체 공급,False,증가 소비·정체 공급
전북특별자치도,남원시,8301,제과점,LOCALDATA,식품인허가 영업점,2.241842213741611,3.7045762066000583,-1.130489367209579,3.410891344932742,4.890350465845309,True,True,True,27601.0,30.0,증가,증가,감소,증가 소비·감소 공급,증가 소비·감소 공급,True,증가 소비·감소 공급
전북특별자치도,무주군,4010,편의점,국세청,가동사업자,-10.533759961690617,-9.769195854797992,0.3417593919444552,-10.838477837680966,-10.07651780077734,True,True,False,81810.0,33.333333333333336,감소,감소,증가,감소 소비·증가 공급,감소 소비·증가 공급,False,감소 소비·증가 공급
전북특별자치도,무주군,4020,슈퍼마켓,국세청,가동사업자,9.232193334747087,9.180990319594647,0.0,9.232193334747,9.18099031959466,True,True,False,13605.0,6.0,증가,증가,정체,증가 소비·정체 공급,증가 소비·정체 공급,False,증가 소비·정체 공급
전북특별자치도,무주군,8005,중국음식,LOCALDATA,식품인허가 영업점,-6.161690826023357,-4.341246305290236,0.0,-6.161690826023354,-4.341246305290244,True,True,False,9339.0,25.0,감소,감소,정체,감소 소비·정체 공급,감소 소비·정체 공급,False,감소 소비·정체 공급
전북특별자치도,무주군,8301,제과점,LOCALDATA,식품인허가 영업점,8.223237538217768,8.894546650537812,0.9071802965081288,7.250284092977309,7.915557971751262,True,True,False,3389.0,9.166666666666666,증가,증가,증가,증가 소비·증가 공급,증가 소비·증가 공급,False,증가 소비·증가 공급
전북특별자치도,부안군,4010,편의점,국세청,가동사업자,5.709818560931886,5.908433375301398,-0.1879357262102488,5.908859144486044,6.107847929874463,True,True,False,199502.0,60.0,증가,증가,정체,증가 소비·정체 공급,증가 소비·정체 공급,False,증가 소비·정체 공급
전북특별자치도,부안군,4020,슈퍼마켓,국세청,가동사업자,2.346209278406067,4.337225312783013,-0.0968146805340179,2.4453914568668624,4.438336955061093,True,True,False,121459.0,29.5,증가,증가,정체,증가 소비·정체 공급,증가 소비·정체 공급,False,증가 소비·정체 공급
전북특별자치도,부안군,8005,중국음식,LOCALDATA,식품인허가 영업점,2.6855456379995934,2.4687805781820717,-0.6800306984254532,3.3886199926279197,3.170370771104949,True,True,True,13830.0,33.666666666666664,증가,증가,감소,증가 소비·감소 공급,증가 소비·감소 공급,True,증가 소비·감소 공급
