TP_BUZ_NO,TP_BUZ_NM,SIDO_NM,CCG_NM,foreign_amt_6m,foreign_cnt_6m,foreign_amt_growth_pct_m,foreign_cnt_growth_pct_m,foreign_amt_change_mar_jun_pct,foreign_cnt_change_mar_jun_pct,all_amt,all_cnt,foreign_amt_share_pct,foreign_cnt_share_pct,registered_foreigner_change_pct,store_lq
4004,대형할인점,경기도,성남시 중원구,6500000,515,-20.24791554323909,-20.037205962421307,-48.8,-55.88235294117647,189910000,14867,3.4226738981622873,3.4640478913028856,-3.34638661445355,
4004,대형할인점,경기도,수원시 권선구,1146530000,27139,-3.294920793960416,-0.6683372324646458,-10.379596678529069,-7.71416083916084,15319650000,415890,7.4840482648102284,6.525523575945563,-5.801855844034122,
4004,대형할인점,경기도,수원시 영통구,233220000,13000,-8.369530749842022,-6.350633120614795,-20.841392649903284,-23.84105960264901,5574930000,282663,4.183370912280513,4.599116262121325,-0.8805954502568341,
4004,대형할인점,경기도,수원시 장안구,1779650000,41748,-6.053138519235798,-4.6878102617896165,-14.025417778401902,-12.994761350407444,26732480000,699501,6.6572573887645285,5.968254512859882,-2.6815499101873144,
4004,대형할인점,경기도,수원시 팔달구,461860000,13080,-4.148138281615686,-3.8969508000649444,-36.02867062381006,-34.841269841269835,6750750000,208635,6.841610191460208,6.2693220217125605,-7.262083695910135,
4004,대형할인점,경기도,시흥시,4140910000,61981,-2.2333093239508117,2.2665308115821436,-12.223015331140218,-4.223058919303952,23866610000,470425,17.350222758908785,13.175532762927139,-4.526648819664146,
4004,대형할인점,경기도,안산시 단원구,4134180000,88577,-1.986320559468936,0.9811071999107277,-10.616580618360928,-2.8684605928151967,22607490000,502344,18.286771331094254,17.632737725542654,-7.09542213270916,
4004,대형할인점,경기도,안산시 상록구,651250000,20456,-1.3066090883190007,0.15458815368678705,-10.262615398404591,-9.664096916299556,6202340000,214861,10.500069328672728,9.520573766295419,-2.8742893240682292,
4004,대형할인점,경기도,안성시,2138630000,46069,-1.8534627694961434,0.2963747079041329,-6.033004081149812,-2.0153164046755307,21648060000,488511,9.879083853241353,9.430493888571597,-0.7851718367872422,
4004,대형할인점,경기도,안양시 동안구,586390000,15297,-2.4850541459720126,-0.5077254866661581,-18.894184938036233,-14.765820521987848,18572930000,557823,3.1572293655336017,2.742267708574225,-0.15881418740075048,
4004,대형할인점,경기도,안양시 만안구,345180000,9700,-18.64130748876795,-10.006898110563542,-62.415271821828746,-42.52169474221542,4797220000,159793,7.195417345879489,6.070353519866327,-1.1472634944517495,
4004,대형할인점,경기도,양주시,557230000,11820,-2.413638353658183,1.8575528484584527,-9.694112235510573,2.644103648863023,9124280000,212958,6.107112013221865,5.550390217789423,3.2630667051689386,
4004,대형할인점,경기도,양평군,42850000,917,-6.85984318538499,-8.208488968061948,-34.129692832764505,-37.055837563451774,1191640000,27250,3.5958846631533015,3.3651376146788987,19.301260022909503,
4004,대형할인점,경기도,여주시,1831140000,15011,0.8981501708674138,2.3379661796956412,-17.509095634095644,-7.850390464447187,30852650000,219117,5.935114163613174,6.85067794831072,24.79636294752794,
4004,대형할인점,경기도,오산시,819630000,21781,-3.1784543051602063,-2.1020752719517923,-6.644717150553731,-6.090100111234705,7570050000,208645,10.82727326767987,10.439262862757314,-3.0470435908502367,
4004,대형할인점,경기도,용인시 기흥구,305460000,12227,-4.138342905404806,-1.735370998112715,-9.12408759124088,-6.916996047430828,9377060000,328140,3.257524213346187,3.7261534710794173,-1.6002783092711752,
4004,대형할인점,경기도,용인시 수지구,165530000,6901,-0.9419367921143155,-0.6376750078296378,-7.485875706214685,-8.32659660468876,7543020000,302979,2.1944791343520236,2.277715617254001,-3.832116788321173,
4004,대형할인점,경기도,용인시 처인구,257180000,10283,-3.702997670977077,-0.7077718630026101,-7.681194317360934,-4.613610149942332,4124270000,165105,6.235770209030932,6.22815783895097,-0.28241749374646474,
4004,대형할인점,경기도,의왕시,147470000,6084,0.2556449465303664,2.9706297359887097,9.114583333333329,9.722222222222229,5330800000,205175,2.7663765288512043,2.9652735469720968,-0.8078994614003676,
4004,대형할인점,경기도,의정부시,279690000,10659,-5.191926855149349,-1.349895528325542,-17.205422314911374,-6.399132321041208,7622040000,308652,3.669490057779807,3.45340383344349,1.474113135186954,
4004,대형할인점,경기도,이천시,405120000,12152,-4.082019485958809,-1.2189538035250014,-5.5399500624219655,-7.805806758686344,5012580000,123504,8.08206552314377,9.839357429718875,2.9247910863509787,
4004,대형할인점,경기도,파주시,957980000,18634,0.842918381761201,2.4400578259811256,-7.975345536047811,-0.19808517662595193,17150170000,324378,5.585833843046454,5.744532613185851,0.954496338095808,
4004,대형할인점,경기도,평택시,699750000,18251,-5.3344608245270635,-2.4334335141446704,-13.0393180236604,-9.589480436177027,10178430000,310429,6.874832366091824,5.879283185527125,0.3618358407922386,
4004,대형할인점,경기도,포천시,371780000,10652,-10.57622579232162,-7.518215297160978,-32.71260086902545,-29.55742887249737,2866350000,76568,12.970502555514853,13.911816947027479,1.4864141744455708,
4004,대형할인점,경기도,하남시,1027900000,21733,-4.773806012563045,-3.1923332954388037,-10.267256296865995,-8.197183098591552,35959490000,722681,2.8584943779792207,3.0072743022163304,-0.9209516500383756,
4004,대형할인점,경기도,화성시 동탄구,284810000,10337,-8.675061087487675,-4.58885043117353,-33.04393123806216,-20.480668756530832,8419750000,343289,3.382642002434751,3.0111655194311497,-0.8748906386701663,
4004,대형할인점,경기도,화성시 만세구,505730000,13878,-17.5586064830032,-7.81705708437854,-50.844941767526834,-28.795589482612385,2050230000,66135,24.666988581768877,20.984350192787478,0.08159026850616158,
4004,대형할인점,경기도,화성시 병점구,107390000,4142,-10.441720326199258,-6.008793076165322,-24.914675767918098,-25.064267352185084,1867220000,86742,5.751330855496406,4.775080122662609,-1.117158407333136,
4004,대형할인점,경기도,화성시 효행구,152470000,4673,-0.5077627778257027,2.0663311963303137,7.410423452768725,0.875,3045380000,101410,5.006600161556193,4.6080268218124445,1.183201144194527,
4004,대형할인점,경상남도,거제시,919420000,29140,-5.94543106376649,-1.9774332107419155,-19.61779448621553,-13.70319545187219,6353370000,198759,14.471375034037054,14.66097132708456,0.41209623659173644,
4004,대형할인점,경상남도,고성군,55550000,1441,1.2893831859208136,2.449486454905322,16.312056737588648,6.38297872340425,1026010000,28227,5.414177249734408,5.1050412725404755,-3.1192660550458697,
4004,대형할인점,경상남도,김해시,2040160000,78264,-2.830709989460022,1.0783299803762694,-14.77960731058677,-9.19599092837808,21965190000,755777,9.288150933363198,10.355435531909544,0.9493213976321044,
4004,대형할인점,경상남도,밀양시,287830000,8272,-3.7018703147527603,0.8985928668781867,-19.517752041010056,-6.86607749830047,4042900000,122442,7.119394494051299,6.755851750216429,-6.756124200343265,
4004,대형할인점,경상남도,사천시,370070000,9395,-4.329575955656709,-1.3810889631029568,-19.068527520777806,-10.795805058605794,5716680000,153461,6.473512598221346,6.122076618815204,-0.4073807812125523,
