SIDO_NM,CCG_NM,STRD_YYMM,AGE_CD,population_age,population_total
강원특별자치도,양양군,202606,3,2040.0,27326.0
강원특별자치도,양양군,202606,4,3081.0,27326.0
강원특별자치도,양양군,202606,5,4580.0,27326.0
강원특별자치도,양양군,202606,6,13087.0,27326.0
강원특별자치도,영월군,202601,1,3582.0,35997.0
강원특별자치도,영월군,202601,2,2373.0,35997.0
강원특별자치도,영월군,202601,3,2257.0,35997.0
강원특별자치도,영월군,202601,4,3579.0,35997.0
강원특별자치도,영월군,202601,5,6280.0,35997.0
강원특별자치도,영월군,202601,6,17926.0,35997.0
강원특별자치도,영월군,202602,1,3572.0,35917.0
강원특별자치도,영월군,202602,2,2327.0,35917.0
강원특별자치도,영월군,202602,3,2230.0,35917.0
강원특별자치도,영월군,202602,4,3566.0,35917.0
강원특별자치도,영월군,202602,5,6251.0,35917.0
강원특별자치도,영월군,202602,6,17971.0,35917.0
강원특별자치도,영월군,202603,1,3596.0,35868.0
강원특별자치도,영월군,202603,2,2299.0,35868.0
강원특별자치도,영월군,202603,3,2215.0,35868.0
강원특별자치도,영월군,202603,4,3537.0,35868.0
강원특별자치도,영월군,202603,5,6189.0,35868.0
강원특별자치도,영월군,202603,6,18032.0,35868.0
강원특별자치도,영월군,202604,1,3573.0,35836.0
강원특별자치도,영월군,202604,2,2297.0,35836.0
강원특별자치도,영월군,202604,3,2225.0,35836.0
강원특별자치도,영월군,202604,4,3523.0,35836.0
강원특별자치도,영월군,202604,5,6163.0,35836.0
강원특별자치도,영월군,202604,6,18055.0,35836.0
강원특별자치도,영월군,202605,1,3555.0,35757.0
강원특별자치도,영월군,202605,2,2269.0,35757.0
강원특별자치도,영월군,202605,3,2201.0,35757.0
강원특별자치도,영월군,202605,4,3524.0,35757.0
강원특별자치도,영월군,202605,5,6122.0,35757.0
강원특별자치도,영월군,202605,6,18086.0,35757.0
강원특별자치도,영월군,202606,1,3537.0,35714.0
강원특별자치도,영월군,202606,2,2267.0,35714.0
강원특별자치도,영월군,202606,3,2211.0,35714.0
강원특별자치도,영월군,202606,4,3502.0,35714.0
강원특별자치도,영월군,202606,5,6093.0,35714.0
강원특별자치도,영월군,202606,6,18104.0,35714.0
강원특별자치도,원주시,202601,1,58039.0,363496.0
강원특별자치도,원주시,202601,2,38457.0,363496.0
강원특별자치도,원주시,202601,3,47067.0,363496.0
강원특별자치도,원주시,202601,4,53615.0,363496.0
강원특별자치도,원주시,202601,5,62398.0,363496.0
강원특별자치도,원주시,202601,6,103920.0,363496.0
강원특별자치도,원주시,202602,1,57967.0,363669.0
강원특별자치도,원주시,202602,2,38312.0,363669.0
