BC업종,SEMAS소분류코드,SEMAS소분류명,매핑신뢰도,API관측업종명,전국점포수,시도코드,시도,시군구코드,시군구,점포수
슈퍼마켓,G20404,슈퍼마켓,HIGH,슈퍼마켓,63862,41,경기도,41360,남양주시,755
슈퍼마켓,G20404,슈퍼마켓,HIGH,슈퍼마켓,63862,47,경상북도,47280,문경시,180
슈퍼마켓,G20404,슈퍼마켓,HIGH,슈퍼마켓,63862,48,경상남도,48860,산청군,89
슈퍼마켓,G20404,슈퍼마켓,HIGH,슈퍼마켓,63862,47,경상북도,47130,경주시,589
슈퍼마켓,G20404,슈퍼마켓,HIGH,슈퍼마켓,63862,26,부산광역시,26350,해운대구,344
슈퍼마켓,G20404,슈퍼마켓,HIGH,슈퍼마켓,63862,48,경상남도,48127,창원시 마산회원구,203
슈퍼마켓,G20404,슈퍼마켓,HIGH,슈퍼마켓,63862,41,경기도,41820,가평군,274
슈퍼마켓,G20404,슈퍼마켓,HIGH,슈퍼마켓,63862,44,충청남도,44200,아산시,481
슈퍼마켓,G20404,슈퍼마켓,HIGH,슈퍼마켓,63862,11,서울특별시,11470,양천구,309
슈퍼마켓,G20404,슈퍼마켓,HIGH,슈퍼마켓,63862,41,경기도,41570,김포시,510
슈퍼마켓,G20404,슈퍼마켓,HIGH,슈퍼마켓,63862,41,경기도,41271,안산시 상록구,370
슈퍼마켓,G20404,슈퍼마켓,HIGH,슈퍼마켓,63862,48,경상남도,48220,통영시,229
슈퍼마켓,G20404,슈퍼마켓,HIGH,슈퍼마켓,63862,41,경기도,41273,안산시 단원구,480
슈퍼마켓,G20404,슈퍼마켓,HIGH,슈퍼마켓,63862,44,충청남도,44133,천안시 서북구,396
슈퍼마켓,G20404,슈퍼마켓,HIGH,슈퍼마켓,63862,12,전남광주통합특별시,12800,영암군,154
슈퍼마켓,G20404,슈퍼마켓,HIGH,슈퍼마켓,63862,44,충청남도,44230,논산시,263
슈퍼마켓,G20404,슈퍼마켓,HIGH,슈퍼마켓,63862,41,경기도,41390,시흥시,634
슈퍼마켓,G20404,슈퍼마켓,HIGH,슈퍼마켓,63862,51,강원특별자치도,51150,강릉시,320
슈퍼마켓,G20404,슈퍼마켓,HIGH,슈퍼마켓,63862,41,경기도,41800,연천군,126
슈퍼마켓,G20404,슈퍼마켓,HIGH,슈퍼마켓,63862,41,경기도,41192,부천시 원미구,406
슈퍼마켓,G20404,슈퍼마켓,HIGH,슈퍼마켓,63862,11,서울특별시,11620,관악구,361
슈퍼마켓,G20404,슈퍼마켓,HIGH,슈퍼마켓,63862,43,충청북도,43112,청주시 서원구,199
슈퍼마켓,G20404,슈퍼마켓,HIGH,슈퍼마켓,63862,41,경기도,41196,부천시 오정구,178
슈퍼마켓,G20404,슈퍼마켓,HIGH,슈퍼마켓,63862,44,충청남도,44210,서산시,281
슈퍼마켓,G20404,슈퍼마켓,HIGH,슈퍼마켓,63862,41,경기도,41650,포천시,391
슈퍼마켓,G20404,슈퍼마켓,HIGH,슈퍼마켓,63862,48,경상남도,48170,진주시,542
슈퍼마켓,G20404,슈퍼마켓,HIGH,슈퍼마켓,63862,51,강원특별자치도,51110,춘천시,369
슈퍼마켓,G20404,슈퍼마켓,HIGH,슈퍼마켓,63862,41,경기도,41465,용인시 수지구,167
슈퍼마켓,G20404,슈퍼마켓,HIGH,슈퍼마켓,63862,50,제주특별자치도,50110,제주시,725
슈퍼마켓,G20404,슈퍼마켓,HIGH,슈퍼마켓,63862,41,경기도,41593,화성시 효행구,162
슈퍼마켓,G20404,슈퍼마켓,HIGH,슈퍼마켓,63862,47,경상북도,47210,영주시,206
슈퍼마켓,G20404,슈퍼마켓,HIGH,슈퍼마켓,63862,26,부산광역시,26290,남구,223
