STRD_YYMM,SIDO_NM,CCG_NM,living_population,resident_population_pdf,stay_population,registered_foreigner_population
202602,전라남도,영광군,206541,53807,151537,1197
202602,전라남도,영암군,260650,50058,200251,10341
202602,전라남도,완도군,203934,44416,155349,4169
202602,전라남도,장성군,241753,43001,197405,1347
202602,전라남도,장흥군,162785,34102,127570,1113
202602,전라남도,진도군,151851,27922,121622,2307
202602,전라남도,함평군,164794,29325,134281,1188
202602,전라남도,해남군,296553,62147,230507,3899
202602,전라남도,화순군,338455,60160,277106,1189
202602,전북특별자치도,고창군,262385,50196,210503,1686
202602,전북특별자치도,김제시,341817,81743,256569,3505
202602,전북특별자치도,남원시,313048,74243,237242,1563
202602,전북특별자치도,무주군,308963,22871,285829,263
202602,전북특별자치도,부안군,301741,47100,253258,1383
202602,전북특별자치도,순창군,128892,27687,100718,487
202602,전북특별자치도,임실군,155835,25309,130093,433
202602,전북특별자치도,장수군,87162,21052,65670,440
202602,전북특별자치도,정읍시,360359,100980,255855,3524
202602,전북특별자치도,진안군,140093,24289,115343,461
202602,충청남도,공주시,665320,99551,562647,3122
202602,충청남도,금산군,251174,48741,199292,3141
202602,충청남도,논산시,492887,106522,379126,7239
202602,충청남도,보령시,514643,91621,418950,4072
202602,충청남도,부여군,300805,58036,240797,1972
202602,충청남도,서천군,236798,47074,187483,2241
202602,충청남도,예산군,468942,78647,385743,4552
202602,충청남도,청양군,178609,29919,147532,1158
202602,충청남도,태안군,365447,59169,304280,1998
202602,충청북도,괴산군,245981,37774,207103,1104
202602,충청북도,단양군,222061,26711,194934,416
202602,충청북도,보은군,183271,30601,151788,882
202602,충청북도,영동군,185834,43043,141865,926
202602,충청북도,옥천군,229147,50117,177586,1444
202602,충청북도,제천시,492692,127640,361306,3746
202603,강원특별자치도,고성군,255758,27076,226651,2031
202603,강원특별자치도,삼척시,269280,60450,207485,1345
202603,강원특별자치도,양구군,78686,20368,57998,320
202603,강원특별자치도,양양군,288590,27364,260662,564
202603,강원특별자치도,영월군,228965,35868,192488,609
202603,강원특별자치도,정선군,223863,35053,188411,399
202603,강원특별자치도,철원군,178795,39802,138132,861
202603,강원특별자치도,태백시,110969,36859,73723,387
202603,강원특별자치도,평창군,317115,39860,276524,731
202603,강원특별자치도,홍천군,399164,65962,331984,1218
202603,강원특별자치도,화천군,88176,22290,65605,281
202603,강원특별자치도,횡성군,257116,45573,210086,1457
