BC업종,시도코드,시도,시군구코드,시군구,점포수
갈비전문점,51,강원특별자치도,51730,횡성군,88
갈비전문점,51,강원특별자치도,51750,영월군,65
갈비전문점,51,강원특별자치도,51760,평창군,124
갈비전문점,51,강원특별자치도,51770,정선군,91
갈비전문점,51,강원특별자치도,51780,철원군,102
갈비전문점,51,강원특별자치도,51790,화천군,69
갈비전문점,51,강원특별자치도,51800,양구군,42
갈비전문점,51,강원특별자치도,51810,인제군,71
갈비전문점,51,강원특별자치도,51820,고성군,55
갈비전문점,51,강원특별자치도,51830,양양군,60
갈비전문점,52,전북특별자치도,52111,전주시 완산구,400
갈비전문점,52,전북특별자치도,52113,전주시 덕진구,301
갈비전문점,52,전북특별자치도,52130,군산시,347
갈비전문점,52,전북특별자치도,52140,익산시,316
갈비전문점,52,전북특별자치도,52180,정읍시,130
갈비전문점,52,전북특별자치도,52190,남원시,101
갈비전문점,52,전북특별자치도,52210,김제시,102
갈비전문점,52,전북특별자치도,52710,완주군,167
갈비전문점,52,전북특별자치도,52720,진안군,26
갈비전문점,52,전북특별자치도,52730,무주군,21
갈비전문점,52,전북특별자치도,52740,장수군,21
갈비전문점,52,전북특별자치도,52750,임실군,24
갈비전문점,52,전북특별자치도,52770,순창군,30
갈비전문점,52,전북특별자치도,52790,고창군,50
갈비전문점,52,전북특별자치도,52800,부안군,47
서양음식,11,서울특별시,11110,종로구,432
서양음식,11,서울특별시,11140,중구,345
서양음식,11,서울특별시,11170,용산구,706
서양음식,11,서울특별시,11200,성동구,309
서양음식,11,서울특별시,11215,광진구,215
서양음식,11,서울특별시,11230,동대문구,162
서양음식,11,서울특별시,11260,중랑구,84
서양음식,11,서울특별시,11290,성북구,172
서양음식,11,서울특별시,11305,강북구,109
서양음식,11,서울특별시,11320,도봉구,62
서양음식,11,서울특별시,11350,노원구,155
서양음식,11,서울특별시,11380,은평구,129
서양음식,11,서울특별시,11410,서대문구,190
서양음식,11,서울특별시,11440,마포구,690
서양음식,11,서울특별시,11470,양천구,124
서양음식,11,서울특별시,11500,강서구,232
서양음식,11,서울특별시,11530,구로구,88
서양음식,11,서울특별시,11545,금천구,62
서양음식,11,서울특별시,11560,영등포구,269
서양음식,11,서울특별시,11590,동작구,123
서양음식,11,서울특별시,11620,관악구,201
서양음식,11,서울특별시,11650,서초구,405
서양음식,11,서울특별시,11680,강남구,1074
서양음식,11,서울특별시,11710,송파구,397
서양음식,11,서울특별시,11740,강동구,165
서양음식,12,전남광주통합특별시,12110,목포시,66
서양음식,12,전남광주통합특별시,12130,여수시,86
서양음식,12,전남광주통합특별시,12150,순천시,82
서양음식,12,전남광주통합특별시,12170,나주시,49
서양음식,12,전남광주통합특별시,12190,광양시,39
서양음식,12,전남광주통합특별시,12210,동구,118
서양음식,12,전남광주통합특별시,12240,서구,102
서양음식,12,전남광주통합특별시,12270,남구,67
서양음식,12,전남광주통합특별시,12300,북구,84
서양음식,12,전남광주통합특별시,12330,광산구,93
서양음식,12,전남광주통합특별시,12710,담양군,23
서양음식,12,전남광주통합특별시,12720,곡성군,5
서양음식,12,전남광주통합특별시,12730,구례군,10
서양음식,12,전남광주통합특별시,12740,고흥군,6
서양음식,12,전남광주통합특별시,12750,보성군,12
서양음식,12,전남광주통합특별시,12760,화순군,15
서양음식,12,전남광주통합특별시,12770,장흥군,11
서양음식,12,전남광주통합특별시,12780,강진군,3
서양음식,12,전남광주통합특별시,12790,해남군,12
서양음식,12,전남광주통합특별시,12800,영암군,20
서양음식,12,전남광주통합특별시,12810,무안군,36
서양음식,12,전남광주통합특별시,12820,함평군,7
서양음식,12,전남광주통합특별시,12830,영광군,8
서양음식,12,전남광주통합특별시,12840,장성군,12
서양음식,12,전남광주통합특별시,12850,완도군,4
서양음식,12,전남광주통합특별시,12860,진도군,5
서양음식,12,전남광주통합특별시,12870,신안군,1
서양음식,26,부산광역시,26110,중구,74
서양음식,26,부산광역시,26140,서구,37
서양음식,26,부산광역시,26170,동구,42
서양음식,26,부산광역시,26200,영도구,28
